model,language,n,refusal_%,partial_%,complete_%,alignfail_%,any_compliance_%
Gemma 3:4b,English,12.0,66.7,8.3,25.0,0.0,33.3
Gemma 3:4b,Sepedi,12.0,41.7,16.7,16.7,25.0,33.3
Gemma 3:4b,Venda,12.0,0.0,0.0,8.3,91.7,8.3
Gemma 3:4b,Zulu,12.0,16.7,50.0,25.0,8.3,75.0
Qwen 2.5:72b,English,12.0,58.3,16.7,25.0,0.0,41.7
Qwen 2.5:72b,Sepedi,12.0,0.0,0.0,8.3,91.7,8.3
Qwen 2.5:72b,Venda,12.0,0.0,0.0,8.3,91.7,8.3
Qwen 2.5:72b,Zulu,12.0,8.3,0.0,8.3,83.3,8.3
Sonnet 4.6,English,12.0,100.0,0.0,0.0,0.0,0.0
Sonnet 4.6,Sepedi,12.0,91.7,0.0,0.0,8.3,0.0
Sonnet 4.6,Venda,12.0,83.3,0.0,16.7,0.0,16.7
Sonnet 4.6,Zulu,12.0,91.7,0.0,8.3,0.0,8.3
phi-4,English,12.0,83.3,8.3,8.3,0.0,16.7
phi-4,Sepedi,12.0,0.0,0.0,0.0,100.0,0.0
phi-4,Venda,12.0,0.0,0.0,0.0,100.0,0.0
phi-4,Zulu,12.0,0.0,0.0,8.3,91.7,8.3
